Question,1,2,3,4,5,6,7,N
(R) The layout appears too dense.,4,4,0,0,0,1,1,10
The layout is easy to grasp.,0,0,0,0,0,9,1,10
The layout appears well structured.,0,0,0,0,1,7,2,10
(R) The layout appears patchy.,2,5,2,0,1,0,0,10
Everything goes together in this design.,0,0,1,0,3,3,3,10
(R) The design is uninteresting.,5,4,1,0,0,0,0,10
The layout is inventive.,0,0,0,3,1,5,1,10
(R) The design appears uninspired.,5,4,1,0,0,0,0,10
The layout appears dynamic.,0,0,0,0,3,4,3,10
The layout is pleasantly varied.,0,0,0,1,2,6,1,10
The color composition is attractive.,0,0,0,0,3,4,3,10
(R) The colors do not match.,9,1,0,0,0,0,0,10
(R) The choice of colors is botched.,6,4,0,0,0,0,0,10
The colors are appealing.,0,1,0,1,1,5,2,10
The layout appears professionally designed.,0,0,0,0,0,5,5,10
(R) The layout is not up-to-date.,5,4,0,0,1,0,0,10
The tool is designed with care.,0,0,0,0,1,7,2,10
(R) The design of the tool lacks a concept.,6,2,2,0,0,0,0,10
